CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;173690;CABEÇOTE MOTOR;173690;101;LOCAL WMS; ;5;0;5;S;30104;COMPONENTES
6;173692;COMPRESSOR;173692;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
6;173694;BICO INJETOR ARLA (OFICINA);173694;101;LOCAL WMS; ;6;0;6;S;10122;SISTEMA ARLA
6;173696;BOMBA INJETORA;173696;101;LOCAL WMS; ;2;0;2;S;30101;MOTOR BASE TROCA
6;173845;ENGRENAGEM ANTIVIBRADOR BOMBA OLEO PERKINS;173845;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;173872;ANEL SINCRONIZADOR 1ª / 2ª MARCHA CAMBIO G-60/85;173872;101;LOCAL WMS; ;12;2;10;S;10301;CARCACA DE MUDANCAS
6;173955;TRAVA VALVULA TOP BREK MBB;173955;101;LOCAL WMS; ;112;28;84;S;0;<SEM GRUPO>
6;174131;BICO INJETOR JETCOLER MWM X12 6.12TCE;174131;101;LOCAL WMS; ;12;0;12;S;10109;INJECAO COMBUSTIVEL
6;174819;ROLAMENTO;174819;101;LOCAL WMS; ;1;1;0;S;11101;LUBRIFICACAO DE MOTOR
6;175164;CORREIA AVX13X1375 EM V;175164;101;LOCAL WMS; ;2;2;0;S;10101;BLOCO DOS CILINDROS
6;175384;CORREIA 2/AVX13X1020 EM V;175384;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;176761;PARAFUSO COLETOR ESCAPE MBB OM457 10X105X1,5MM  10.9  CH17;176761;101;LOCAL WMS; ;25;12;13;S;11501;PARAFUSO
6;176771;PINO GUIA BASE BLOCO MB OM457;176771;101;LOCAL WMS; ;24;12;12;S;20299;GRUPO EM MANUTENCAO
6;176772;GUIA VALVULA MOTOR MAN D08 24.280 STD;176772;101;LOCAL WMS; ;16;16;0;S;10101;BLOCO DOS CILINDROS
6;177494;CANO INTERNO INJETOR MB OM366 LA;177494;101;LOCAL WMS; ;6;0;6;S;0;<SEM GRUPO>
6;177955;ANEL VEDACAO;177955;101;LOCAL WMS; ;2;2;0;S;10301;CARCACA DE MUDANCAS
6;178153;SENSOR;178153;101;LOCAL WMS; ;1;1;0;S;10701;ALTERNADOR
6;178522;BOMBA AGUA MOTOR;178522;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;181279;TRAVA ROSCA 10G;181279;101;LOCAL WMS; ;4;5;-1;S;10301;CARCACA DE MUDANCAS
6;181280;ELIMINA JUNTA 85GR CINZA;181280;101;LOCAL WMS; ;29;38;-9;S;10301;CARCACA DE MUDANCAS
