Seq_Recebimento_Canhoto,Nro_Nota_Fiscal,Serie_Nota_Fiscal,Data_Recebimento,Cod_Empresa,Nome_Fantasia_Empresa,Data_Hora_Inclusao,Cod_Usuario_Inclusao,Nome_Usuario,Nro_Unico,Cod_Parceiro,Nome_Parceiro,Data_Negociacao,Data_Prev_Fin,Nro_CTe,Observacao,Cod_Transportadora,Transportadora,Cod_Vendedor,Vendedor,Valor_Nota,Cod_Situacao_WMS,Status_WMS,Data_Recebimento_WMS,Conferencia_Final
89,332675,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:04:07,99,GUILHERME.SANTOS,1190914,13353,FABBOF INDUSTRIA METALURGICA LTDA,26012026 00:00:00,01022026 00:00:00,,,57230,EXPRESSO SAO MIGUEL S/A,7.0,NEVES,3272.63,,Sem WMS,,
88,343294,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:59,99,GUILHERME.SANTOS,1191094,11360,POLIPECAS DISTRIBUIDORA AUTOMOTIVA LTDA F002172,29012026 00:00:00,01022026 00:00:00,,,21252,POLIPECAS DISTRIBUIDORA AUTOMOTIVA LTDA,7.0,NEVES,2065.5,,Sem WMS,,
87,1268,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:44,99,GUILHERME.SANTOS,1189534,11659,COMPANHIA BRASILEIRA DE DISTRIBUICAO AUTOMOTIVA SA F002908,27012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,6.0,FELIPE PEREIRA,1587.94,6.0,Armazenado,31012026 00:00:00,S
86,33828,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:37,99,GUILHERME.SANTOS,1191764,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,27012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,1015.52,6.0,Armazenado,30012026 00:00:00,S
85,33828,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:26,99,GUILHERME.SANTOS,1191764,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,27012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,1015.52,6.0,Armazenado,30012026 00:00:00,S
84,76364,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:12,99,GUILHERME.SANTOS,1189444,2690,INTERPUMP HYDRAULICS BRASIL  INDUSTRIA E COMERCIO F001317,26012026 00:00:00,01022026 00:00:00,,,502,RODONAVES TRANSPORTES E ENCOMENDAS LTDA C000982,8.0,GUILHERME TRINDADE,9305.57,,Sem WMS,,
83,28829,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:03:00,99,GUILHERME.SANTOS,1190534,13179,MTETHOMSON INDE COMLTDA,19012026 00:00:00,01022026 00:00:00,,,22256,SPO SAO PAULO TRANSPORTE EIRELI,0.0,<SEM VENDEDOR>,6501.76,6.0,Armazenado,29012026 00:00:00,S
82,33924,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:02:41,99,GUILHERME.SANTOS,1191761,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,1768.6,2.0,Em Recebimento,30012026 00:00:00,S
81,164547,,30012026 00:00:00,7,MMARRA - ITUMBIARA (GO),30012026 19:00:34,99,GUILHERME.SANTOS,1181851,2,MMARRA UBERLANDIA MG,21012026 00:00:00,01022026 00:00:00,,,2,MMARRA UBERLANDIA MG,0.0,<SEM VENDEDOR>,2509.37,,Sem WMS,,
80,725101,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:00:12,99,GUILHERME.SANTOS,1192324,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,10024.12,2.0,Em Recebimento,30012026 00:00:00,S
79,727295,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:00:00,99,GUILHERME.SANTOS,1192316,198,EATON LTDA F000595,19012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,9.0,PAULO BOVO,804.48,6.0,Armazenado,31012026 00:00:00,S
78,727295,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:59:46,99,GUILHERME.SANTOS,1192316,198,EATON LTDA F000595,19012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,9.0,PAULO BOVO,804.48,6.0,Armazenado,31012026 00:00:00,S
77,725381,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:59:38,99,GUILHERME.SANTOS,1192308,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,517.13,6.0,Armazenado,30012026 00:00:00,S
76,725381,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:59:19,99,GUILHERME.SANTOS,1192308,198,EATON LTDA F000595,16012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,517.13,6.0,Armazenado,30012026 00:00:00,S
75,727144,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:59:06,99,GUILHERME.SANTOS,1192290,198,EATON LTDA F000595,19012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,217.16,6.0,Armazenado,30012026 00:00:00,S
74,727802,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:58:50,99,GUILHERME.SANTOS,1192280,198,EATON LTDA F000595,20012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,142.26,6.0,Armazenado,30012026 00:00:00,S
73,726319,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:58:39,99,GUILHERME.SANTOS,1192274,198,EATON LTDA F000595,17012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,198.96,6.0,Armazenado,30012026 00:00:00,S
72,726306,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:58:15,99,GUILHERME.SANTOS,1192248,198,EATON LTDA F000595,17012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,4254.67,6.0,Armazenado,30012026 00:00:00,S
71,726051,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 18:58:04,99,GUILHERME.SANTOS,1192242,198,EATON LTDA F000595,17012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,3.0,JULIANO MARCHEZAM,31.63,6.0,Armazenado,30012026 00:00:00,S
